State,Deaths_2010,Births_2010,Death_Per_1000_2010,Deaths_2015,Births_2015,Death_Per_1000_2015,Latitude,Longitude,Uninsured_Rate_2010(%),Uninsured_Rate_2015(%),Uninsured_Rate_Change_2010-2015(%)
Alabama,524,60050,8,496,59657,8,32,-86,14,10,-4
Alaska,41,11471,3,78,11282,6,63,-154,19,14,-5
Arizona,520,87477,5,467,85351,5,34,-111,16,10,-6
Arkansas,279,38540,7,293,38886,7,35,-91,17,9,-8
California,2417,510198,4,2178,491748,4,36,-119,18,8,-9
Colorado,392,66355,5,310,66581,4,39,-105,15,8,-7
Connecticut,200,37708,5,202,35746,5,41,-73,9,6,-3
Delaware,85,11364,7,102,11166,9,38,-75,9,5,-3
District of Columbia,70,9165,7,84,9578,8,38,-77,7,3,-3
Florida,1397,214590,6,1399,224269,6,27,-81,21,13,-8
Georgia,849,133947,6,1024,131404,7,32,-82,19,13,-5
Hawaii,118,18988,6,104,18420,5,19,-155,7,4,-3
Idaho,111,23198,4,107,22827,4,44,-114,17,11,-6
Illinois,1130,165200,6,948,158116,6,40,-89,13,7,-6
Indiana,640,83940,7,614,84040,7,40,-85,14,9,-5
Iowa,188,38719,4,167,39482,4,41,-93,9,5,-4
Kansas,252,40649,6,233,39154,5,39,-98,13,9,-4
Kentucky,380,55784,6,375,55971,6,37,-84,15,6,-9
Louisiana,471,62379,7,489,64692,7,31,-92,17,11,-5
Maine,70,12970,5,83,12607,6,45,-69,10,8,-1
Maryland,504,73801,6,485,73616,6,39,-76,11,6,-4
Massachusetts,320,72865,4,309,71492,4,42,-71,4,2,-1
Michigan,816,114531,7,739,113312,6,44,-85,12,6,-6
Minnesota,312,68610,4,361,69834,5,46,-94,9,4,-4
Mississippi,385,40036,9,363,38394,9,32,-89,18,12,-5
Missouri,505,76759,6,487,75061,6,37,-91,13,9,-3
Montana,72,12060,5,73,12583,5,46,-110,17,11,-5
Nebraska,136,25918,5,152,26679,5,41,-99,11,8,-3
Nevada,198,35934,5,188,36298,5,38,-116,22,12,-10
New Hampshire,50,12874,3,51,12433,4,43,-71,11,6,-4
New Jersey,513,106922,4,483,103127,4,40,-74,13,8,-4
New Mexico,156,27850,5,131,25816,5,34,-105,19,10,-8
New York,1242,244375,5,1098,237274,4,43,-74,11,7,-4
North Carolina,867,122350,7,888,120843,7,35,-79,16,11,-5
North Dakota,62,9104,6,81,11314,7,47,-101,9,7,-2
Ohio,1074,139128,7,1000,139264,7,40,-82,12,6,-5
Oklahoma,399,53238,7,389,53122,7,35,-97,18,13,-5
Oregon,226,45540,4,235,45655,5,43,-120,17,7,-10
Pennsylvania,1036,143321,7,867,141047,6,41,-77,10,6,-3
Rhode Island,80,11177,7,65,10993,5,41,-71,12,5,-6
South Carolina,428,58342,7,402,58139,6,33,-81,17,10,-6
South Dakota,84,11811,7,90,12336,7,43,-99,12,10,-2
Tennessee,626,79495,7,568,81685,6,35,-86,14,10,-4
Texas,2373,386118,6,2305,403618,5,31,-99,23,17,-6
Utah,254,52258,4,255,50778,5,39,-111,15,10,-4
Vermont,26,6223,4,27,5903,4,44,-72,8,3,-4
Virginia,703,103002,6,610,103303,5,37,-78,13,9,-4
Washington,388,86539,4,434,88990,4,47,-120,14,6,-7
West Virginia,150,20470,7,141,19805,7,38,-80,14,6,-8
Wisconsin,400,68487,5,389,67041,5,43,-88,9,5,-3
Wyoming,52,7556,6,38,7765,4,43,-107,14,11,-3
